"Детские сады / Ясли"#"Детский сад №307, Колокольчик"#"Гвардейская, 10"#"61.37222182939 55.144250919395"
"Детские сады / Ясли"#"Детский сад №412, Веселые человечки, художественно-эстетического направления развития"#"Комсомольский проспект, 74а"#"61.313854308771 55.195702485666"
"Детские сады / Ясли"#"Детский сад №35"#"Университетская Набережная, 90"#"61.300786079486 55.16141659274"
"Детские сады / Ясли"#"Детский сад №18"#"Скульптора Головницкого, 18"#"61.280722421472 55.207969056096"
"Детские сады / Ясли"#"Какаду, детский сад"#"Академика Макеева, 7а"#"61.297673725929 55.165906848573"
"Детские сады / Ясли"#"Детский сад №481, комбинированного вида"#"250 лет Челябинску, 30а"#"61.291781367901 55.177033068114"
"Детские сады / Ясли"#"Детский сад №23, Кенгу.ru"#"250 лет Челябинску, 65"#"61.287839254181 55.16570602286"
"Детские сады / Ясли"#"Рыжики, детский сад"#"Российская, 222а"#"61.416822961106 55.154860243142"
"Детские сады / Ясли"#"Детский сад №435, центр развития ребенка"#"Братьев Кашириных, 107а"#"61.335789253957 55.177336447802"
"Детские сады / Ясли"#"Детский сад №454, Антошка, центр развития ребенка"#"Университетская Набережная, 24а"#"61.36060097495 55.177101806385"
"Детские сады / Ясли"#"Детский сад №234, комбинированного вида"#"Островского, 27Б"#"61.382056728811 55.186502592307"
"Детские сады / Ясли"#"Детский сад №17, Семицветик, для детей с нарушениями опорно-двигательного аппарата"#"40 лет Победы, 31а"#"61.30447971307 55.183937903692"
"Детские сады / Ясли"#"Детский сад №52, интеллектуального направления развития"#"Красная, 44"#"61.39211650938 55.156596681522"
"Детские сады / Ясли"#"Детский сад №480, Алые паруса, комбинированного вида"#"Чичерина, 4Б"#"61.279695083167 55.188282226422"
"Детские сады / Ясли"#"Детский сад №30, Фламинго"#"Зальцмана, 24"#"61.524693714369 55.16857033942"
"Детские сады / Ясли"#"Детский сад №350, центр развития ребенка"#"Победы проспект, 306а"#"61.343979625259 55.190669870053"
"Детские сады / Ясли"#"Детский сад №152, Терем"#"Овчинникова, 8а/1"#"61.407589358649 55.144515151802"
"Детские сады / Ясли"#"Детский сад №459, Березка, комбинированного вида"#"Чичерина, 15а"#"61.292151550759 55.186027844399"
"Детские сады / Ясли"#"Детский сад №378, Цветик-семицветик, центр развития ребенка"#"Комсомольский проспект, 105а"#"61.292844804682 55.187996801881"
"Детские сады / Ясли"#"Детский сад №455, комбинированного вида"#"Чайковского, 185а"#"61.355895118294 55.176707656233"
"Детские сады / Ясли"#"Детский сад №125, центр развития ребенка"#"Копейское шоссе, 47а"#"61.448353664304 55.142132284051"
"Детские сады / Ясли"#"Детский сад №426, Солнечная поляна, центр развития ребенка"#"Комсомольский проспект, 80а"#"61.307880186069 55.195689907509"
"Детские сады / Ясли"#"Детский сад №339, центр развития ребенка"#"Елькина, 86Б"#"61.395688919342 55.152395448406"
"Детские сады / Ясли"#"Детский сад №438, комбинированного вида"#"Энгельса, 38а"#"61.379186926169 55.155626742817"
"Детские сады / Ясли"#"Детский сад №473, центр развития ребенка"#"40 лет Победы, 10а"#"61.289021311779 55.190606221862"
"Детские сады / Ясли"#"Детский сад №408, центр развития ребенка"#"Ворошилова, 37а"#"61.323546863082 55.1910464895"
"Детские сады / Ясли"#"Детский сад №57, комбинированного вида"#"Братьев Кашириных, 105Б"#"61.338335614985 55.176934882037"
"Детские сады / Ясли"#"Детский сад №310, Лесная полянка, центр развития ребенка"#"Курчатова, 20а"#"61.392899538812 55.15102595624"
"Детские сады / Ясли"#"Детский сад №482, центр развития ребенка"#"Чичерина, 40Б"#"61.296196657063 55.174656733858"
"Детские сады / Ясли"#"Детский сад №440, центр развития ребенка"#"Братьев Кашириных, 103а"#"61.342237774034 55.177097718309"
"Детские сады / Ясли"#"Дошкольное отделение, Средняя общеобразовательная школа №59"#"Мамина пер, 6Б"#"61.484124752356 55.196519967842"
"Детские сады / Ясли"#"Детский сад №337, комбинированного вида"#"Комсомольский проспект, 41в"#"61.339933486362 55.192412613979"
"Детские сады / Ясли"#"Детский сад №389, центр развития ребенка"#"Молодогвардейцев, 20"#"61.329233210811 55.197302693069"
"Детские сады / Ясли"#"Детский сад №2, комбинированного вида"#"Южный бульвар, 22"#"61.42917655548 55.139589768404"
"Детские сады / Ясли"#"Детский сад №108, комбинированного вида"#"Чичерина, 21а"#"61.295962838486 55.182603559675"
"Детские сады / Ясли"#"Детский сад №462, центр развития ребенка"#"250 лет Челябинску, 13Б"#"61.304276513231 55.179356908312"
"Детские сады / Ясли"#"Детский сад №413, комбинированного вида"#"Доватора, 18а"#"61.399073219991 55.140354221014"
"Детские сады / Ясли"#"Детский сад №329, Зеленый лужок, центр развития ребенка"#"Победы проспект, 296а"#"61.351337260834 55.191934427881"
"Детские сады / Ясли"#"Детский сад №308, комбинированного вида"#"Художника Русакова, 5а"#"61.338575290877 55.184896020711"
"Детские сады / Ясли"#"Детский сад №457, Ласточка, центр развития ребенка"#"40 лет Победы, 21Б"#"61.29994359467 55.188670245016"
"Детские сады / Ясли"#"Детский сад №366, центр развития ребенка"#"Молодогвардейцев, 56в"#"61.330306102406 55.186325047641"
"Детские сады / Ясли"#"Детский сад №84, компенсирующего вида для детей с тяжелыми нарушениями речи"#"Худякова, 17а"#"61.373571706457 55.146461074501"
"Детские сады / Ясли"#"Детский сад №29, Непоседа, г. Копейск"#"Коммунистический проспект, 19Б"#"61.614473319694 55.110470103408"
"Детские сады / Ясли"#"Детский сад №424, центр развития ребенка"#"Комсомольский проспект, 86а"#"61.302815894901 55.195713041555"
"Детские сады / Ясли"#"Детский сад №362, центр развития ребенка"#"Куйбышева, 17Б"#"61.357802724453 55.196634010073"
"Детские сады / Ясли"#"Детский сад №365, комбинированного вида"#"Молодогвардейцев, 42а"#"61.330146068032 55.192082427397"
"Детские сады / Ясли"#"Детский сад №5, комбинированного вида (санаторные группы)"#"Ковшовой, 5"#"61.351261659828 55.116844216479"
"Детские сады / Ясли"#"Детский сад №166, Елочка, комбинированного вида"#"Кудрявцева, 14"#"61.421125386627 55.182893481394"
"Детские сады / Ясли"#"Детский сад №470, Игрушка, комбинированного вида"#"Чичерина, 5Б"#"61.286510470201 55.189730851287"
"Детские сады / Ясли"#"Детский сад №64, центр развития ребенка"#"Дзержинского, 12"#"61.465802865081 55.122648024366"
"Детские сады / Ясли"#"Детский сад №154, художественно-эстетического направления развития"#"Грозненская, 56"#"61.449081427202 55.117457418985"
"Детские сады / Ясли"#"Детский сад №73, центр развития ребенка"#"250 лет Челябинску, 7а"#"61.313872189965 55.180064355465"
"Детские сады / Ясли"#"Детский сад №265, интеллектуального направления развития"#"Каслинская, 29а"#"61.395544318798 55.18066598555"
"Детские сады / Ясли"#"Средняя общеобразовательная школа №123 с дошкольным отделением"#"Молодогвардейцев, 62Б"#"61.330100296031 55.183340655946"
"Детские сады / Ясли"#"Детский сад №478"#"Чичерина, 4"#"61.280937131303 55.188829468106"
"Детские сады / Ясли"#"Детский сад №114, художественно-эстетического направления"#"Металлургов шоссе, 19а"#"61.396202374185 55.247990196586"
"Детские сады / Ясли"#"Детский сад №370, центр развития ребенка"#"Героев Танкограда, 65а"#"61.453169102698 55.174040838931"
"Детские сады / Ясли"#"Детский сад №439, комбинированного вида"#"Салавата Юлаева, 14"#"61.277431179338 55.190546083246"
"Детские сады / Ясли"#"Детский сад №48, г. Копейск"#"Луганская (Потанино), 3а"#"61.619420836808 55.17578039228"
"Детские сады / Ясли"#"Детский сад №34, центр развития ребенка"#"Ереванская, 12а"#"61.462807966201 55.114783343393"
"Детские сады / Ясли"#"Детский сад №293, центр развития ребенка"#"Коммуны, 86а"#"61.384141225379 55.163117509126"
"Детские сады / Ясли"#"Детский сад №157"#"Татьяничевой, 12в"#"61.366778454178 55.150367152415"
"Детские сады / Ясли"#"Детский сад №423, комбинированного вида"#"Шенкурская, 11а"#"61.397310001286 55.189280332771"
"Детские сады / Ясли"#"Детский сад №165, центр развития ребенка"#"Липецкая, 10"#"61.384693863936 55.256650925327"
"Детские сады / Ясли"#"Детский сад №393, Чебурашка, центр развития ребенка"#"Комарова, 112Б"#"61.454407735027 55.175903167331"
"Детские сады / Ясли"#"Детский сад №375, центр развития ребенка"#"Гражданская, 10Б"#"61.425180342135 55.138239378574"
"Детские сады / Ясли"#"Детский сад №195"#"Ленина проспект, 74Б"#"61.37302752051 55.160502568134"
"Детские сады / Ясли"#"Детский сад №449, центр развития ребенка"#"Краснооктябрьская, 18"#"61.387787701292 55.251219911519"
"Детские сады / Ясли"#"Детский сад №193"#"Энгельса, 69"#"61.381799664051 55.158680299513"
"Детские сады / Ясли"#"Детский сад №301, художественно-эстетического направления развития"#"Марченко, 29а"#"61.460944100029 55.164559152561"
"Детские сады / Ясли"#"Детский сад №150, центр развития ребенка"#"Сахалинская, 31"#"61.354009437597 55.297728958354"
"Детские сады / Ясли"#"Детский сад №442, центр развития ребенка"#"Хохрякова, 16а"#"61.485281033876 55.180015628532"
"Детские сады / Ясли"#"Детский сад №209, комбинированного вида"#"Свердловский проспект, 22а"#"61.384905812977 55.186556831837"
"Детские сады / Ясли"#"Детский сад №355, физического направления развития"#"Красного Урала, 11а"#"61.357807430623 55.195859178567"
"Детские сады / Ясли"#"Детский сад №251, центр развития ребенка"#"Мамина, 5а"#"61.475410059695 55.197153337972"
"Детские сады / Ясли"#"Детский сад №353, центр развития ребенка"#"Краснознаменная, 26"#"61.3790097978 55.185164435576"
"Детские сады / Ясли"#"Детский сад №218, комбинированного вида"#"Батумская, 22"#"61.465255467594 55.116273268672"
"Детские сады / Ясли"#"Детский сад №460, комбинированного вида"#"Харлова, 13а"#"61.431166948612 55.147914099301"
"Детские сады / Ясли"#"Детский сад №257, художественно-эстетического направления развития"#"Гагарина (Ленинский), 60в"#"61.431269609001 55.117773292133"
"Детские сады / Ясли"#"Детский сад №13, компенсирующего вида для детей с тяжелыми нарушениями речи"#"Энгельса, 41"#"61.381244511289 55.165990732023"
"Детские сады / Ясли"#"Детский сад №85, центр развития ребенка"#"Южноуральская, 18"#"61.463693592865 55.179888364295"
"Детские сады / Ясли"#"Детский сад №268, комбинированного вида"#"Гагарина (Ленинский), 52а"#"61.43239983292 55.122491112094"
"Детские сады / Ясли"#"Детский сад №215, комбинированного вида"#"Танкистов, 136Б"#"61.470490288625 55.173427197919"
"Детские сады / Ясли"#"Детский сад №295, комбинированного вида"#"Гагарина (Ленинский), 39а"#"61.436039181483 55.12490593611"
"Детские сады / Ясли"#"Детский сад №306, комбинированного вида"#"Гагарина (Ленинский), 13а"#"61.443331521792 55.139775220196"
"Детские сады / Ясли"#"Детский сад №418, центр развития ребенка"#"Шуменская, 8"#"61.46260718599 55.176694888827"
"Детские сады / Ясли"#"Дошкольное отделение, Гимназия №93 им. А.Ф. Гелича"#"Куйбышева, 61а"#"61.338128984425 55.196304676045"
"Детские сады / Ясли"#"Детский сад №1, комбинированного вида"#"Братьев Кашириных, 106а"#"61.314028087923 55.179390641793"
"Детские сады / Ясли"#"Детский сад №425, центр развития ребенка"#"Молодогвардейцев, 46а"#"61.328929759504 55.191111365158"
"Детские сады / Ясли"#"Детский сад №277"#"Каслинская, 28а"#"61.390521105735 55.189274438896"
"Детские сады / Ясли"#"Детский сад №476, центр развития ребенка"#"Победы проспект, 335Б"#"61.290319498556 55.179566478161"
"Детские сады / Ясли"#"Детский сад №181, Цветик-Семицветик, центр развития ребенка"#"Худякова, 4а"#"61.378773935496 55.148512075623"
"Детские сады / Ясли"#"Дошкольное отделение, Средняя общеобразовательная школа №84"#"Мамина, 25"#"61.48251307935 55.174160560421"
"Детские сады / Ясли"#"Детский сад №422, комбинированного вида"#"Толбухина, 6а"#"61.347493704714 55.116614523556"
"Детские сады / Ясли"#"Детский сад №358, художественно-эстетического направления развития"#"50 лет ВЛКСМ, 37д"#"61.383235946584 55.235665883925"
"Детские сады / Ясли"#"Детский сад №9, Колобок, комбинированного вида"#"Кирова, 34а"#"61.606203095828 55.094404194847"
"Детские сады / Ясли"#"Детский сад №236, художественно-эстетического направления развития"#"Кудрявцева, 77а"#"61.428398850776 55.175013619957"
"Детские сады / Ясли"#"Детский сад №22, Рябинка, г. Копейск"#"Меховова, 5"#"61.647813468594 55.135128904121"
"Детские сады / Ясли"#"Детский сад №197, интеллектуального направления развития воспитанников"#"Трудовая, 25Б"#"61.39243113077 55.265849907797"
"Детские сады / Ясли"#"Детский сад №101"#"Карпенко, 7"#"61.444973378651 55.178672661616"
"Детские сады / Ясли"#"Росинка, детский сад-ясли"#"Трашутина, 47"#"61.516472717198 55.169852357513"
"Детские сады / Ясли"#"Детский сад №233"#"Новороссийская, 59Б"#"61.476463028085 55.108383051733"
"Детские сады / Ясли"#"Детский сад №105, художественно-эстетического направления развития"#"Либединского, 35"#"61.419694660847 55.182585018347"
"Детские сады / Ясли"#"Детский сад №119, Сказка"#"Свободы, 108"#"61.415172853841 55.145045355264"
"Детские сады / Ясли"#"Детский сад №452, комбинированного вида"#"Братьев Кашириных, 97а"#"61.350200083151 55.176942635003"
"Детские сады / Ясли"#"Детский сад №8, г. Копейск"#"Кирова, 23"#"61.606150475842 55.096429882989"
"Детские сады / Ясли"#"Детский сад №399"#"Салютная, 24"#"61.446528483604 55.17108317409"
"Детские сады / Ясли"#"Детский сад №81, художественно-эстетического направления развития"#"Большевистская, 4а"#"61.398753920784 55.246822844315"
"Детские сады / Ясли"#"Детский сад №212, художественно-эстетического направления развития"#"Марченко, 15г"#"61.465445472297 55.168972958784"
"Детские сады / Ясли"#"Детский сад №19, Солнышко, пос. Рощино"#"Ленина, 15"#"61.266114158332 55.309166741938"
"Детские сады / Ясли"#"Детский сад №316, Лесная полянка, комбинированного вида"#"60 лет Октября, 46а"#"61.383498658633 55.263561289044"
"Детские сады / Ясли"#"Детский сад №443, комбинированного вида"#"Пермская, 53"#"61.424264060351 55.170768748133"
"Детские сады / Ясли"#"Детский сад №458, комбинированного вида"#"250 лет Челябинску, 16Б"#"61.300380971486 55.181403255135"
"Детские сады / Ясли"#"Детский сад №272, Золотой петушок, художественно-эстетического направления развития"#"Социалистическая, 60"#"61.382590051413 55.253224337975"
"Детские сады / Ясли"#"Детский сад №253, комбинированного вида"#"Каслинская, 27Б"#"61.395479289168 55.181388245644"
"Детские сады / Ясли"#"Детский сад №93, центр развития ребенка"#"40 лет Победы, 45а"#"61.31125622122 55.179460704176"
"Детские сады / Ясли"#"Детский сад №343, комбинированного вида"#"Образцова, 6а"#"61.378133544546 55.146575294011"
"Детские сады / Ясли"#"Детский сад №56/1, компенсирующего вида"#"60 лет Октября, 6а"#"61.400249198003 55.265580688007"
"Детские сады / Ясли"#"Детский сад №219, комбинированного вида"#"Чичерина, 23а"#"61.296471872157 55.181536417227"
"Детские сады / Ясли"#"Детский сад №466, центр развития ребенка"#"Братьев Кашириных, 116а"#"61.307616917673 55.176887569871"
"Детские сады / Ясли"#"Детский сад №432, Золотой петушок, центр развития ребенка"#"Комсомольский проспект, 82Б"#"61.30787013064 55.196586540136"
"Детские сады / Ясли"#"Детский сад №213, центр развития ребенка"#"Южная (Центральный), 5а"#"61.386132215878 55.152917590029"
"Детские сады / Ясли"#"Детский сад №275, художественно-эстетического направления развития"#"Черкасская, 10а"#"61.376646977894 55.238641743822"
"Детские сады / Ясли"#"Детский сад №57"#"Ленина, 17а"#"61.620109328757 55.10412932586"
"Детские сады / Ясли"#"Детский сад №50, центр развития ребенка"#"Заводская, 9"#"61.600784447067 55.116160226799"
"Детские сады / Ясли"#"Детский сад №53, центр развития ребенка"#"Победы проспект, 19в"#"61.605940744182 55.115625203046"
"Детские сады / Ясли"#"Детский сад №37, комбинированного вида, г. Копейск"#"Чкалова, 16"#"61.671395338903 55.13218243644"
"Детские сады / Ясли"#"Детский сад №12"#"Лермонтова (Новосинеглазово), 19"#"61.374788860221 55.036674578363"
"Детские сады / Ясли"#"Детский сад №296, центр развития ребенка"#"Гагарина (Ленинский), 34Б"#"61.43136423056 55.129648846756"
"Детские сады / Ясли"#"Детский сад №9, комбинированного вида для детей с тяжелыми нарушениями речи"#"250 лет Челябинску, 14а"#"61.302033685703 55.181239611471"
"Детские сады / Ясли"#"Детский сад №282, центр развития ребенка"#"Кирова, 5Б"#"61.400948562969 55.180857252706"
"Детские сады / Ясли"#"Детский сад №27, центр развития ребенка"#"Томилова, 13а"#"61.609952640166 55.121578858927"
"Детские сады / Ясли"#"Детский сад №243"#"Корабельная, 4а"#"61.360929139429 55.106000939522"
"Детские сады / Ясли"#"Детский сад №427, художественно-эстетического направления развития"#"Молодогвардейцев, 8а"#"61.326235679988 55.199715753478"
"Детские сады / Ясли"#"Детский сад №74"#"Воровского, 51а"#"61.385429607188 55.146842906453"
"Детские сады / Ясли"#"Детский сад №259, интеллектуального направления развития"#"Южная (Центральный), 5"#"61.386068740248 55.15366944674"
"Детские сады / Ясли"#"Детский сад №31, центр развития ребенка"#"Мелькомбинат 2 1-й участок, 40"#"61.347019592501 55.168865607395"
"Детские сады / Ясли"#"Детский сад №444, общеразвивающего вида"#"Братьев Кашириных, 101Б"#"61.344265286953 55.176921074433"
"Детские сады / Ясли"#"Детский сад №59"#"Пушкина, 62"#"61.409142275098 55.158784638061"
"Детские сады / Ясли"#"Детский сад №402, центр развития ребенка"#"Гагарина (Ленинский), 21а"#"61.442852017653 55.136804695018"
"Детские сады / Ясли"#"Детский сад №62"#"40 лет Победы, 15а"#"61.297556477415 55.189955494596"
"Детские сады / Ясли"#"Детский сад №21, Светлячок, комбинированного вида, г. Копейск"#"Гольца, 9г"#"61.60553032957 55.114684742132"
"Детские сады / Ясли"#"Детский сад №45, центр развития ребенка"#"Победы проспект, 9а"#"61.614469288848 55.115481044761"
"Детские сады / Ясли"#"Детский сад №35, Тополёк, г. Копейск"#"Победы проспект, 24"#"61.608736757684 55.118043524491"
"Детские сады / Ясли"#"Детский сад №16, пос. Старокамышинск"#"Никитина (Старокамышинск), 6"#"61.533058756494 55.051870110167"
"Детские сады / Ясли"#"Дошкольное отделение, Средняя общеобразовательная школа №106"#"Крылова, 17а"#"61.438376718539 55.172469191736"
"Детские сады / Ясли"#"Детский сад №433, комбинированного вида"#"Дегтярёва, 5а"#"61.398365108269 55.272787158641"
"Детские сады / Ясли"#"Детский сад №364, центр развития ребенка"#"Ворошилова, 11а"#"61.324916951339 55.197705977827"
"Детские сады / Ясли"#"Детский сад №19"#"Скульптора Головницкого, 6"#"61.287322350629 55.20785169377"
"Детские сады / Ясли"#"Детский сад №469"#"40 лет Победы, 41а"#"61.309351550095 55.18070000993"
"Детские сады / Ясли"#"Детский сад №447"#"Калинина, 2а"#"61.405489132555 55.181904680314"
"Детские сады / Ясли"#"Детский сад №428"#"Шуменская, 12"#"61.46166150946 55.175435166188"
"Детские сады / Ясли"#"Детский сад №475, центр развития ребенка"#"Салютная, 17а"#"61.449687672852 55.169624894713"
"Детские сады / Ясли"#"Детский сад №276, комбинированного вида"#"60 лет Октября, 48а"#"61.381348943696 55.262195964087"
"Детские сады / Ясли"#"Детский сад №1, г. Копейск"#"Борьбы, 18"#"61.625334027769 55.113613988131"
"Детские сады / Ясли"#"Детский сад №245, комбинированного вида"#"Пирогова, 9"#"61.512996472211 55.125043501818"
"Детские сады / Ясли"#"Детский сад №4, г. Копейск"#"Ленина, 25"#"61.621189989741 55.106105152283"
"Детские сады / Ясли"#"Детский сад №344"#"Куйбышева, 63"#"61.338124192574 55.197027111443"
"Детские сады / Ясли"#"Детский сад №382, центр развития ребенка"#"Котина, 3а"#"61.455553768748 55.177501030813"
"Детские сады / Ясли"#"Детский сад №351, центр развития ребенка"#"Артиллерийская, 61а"#"61.43022450282 55.179589669742"
"Детские сады / Ясли"#"Детский сад №360"#"Комсомольский проспект, 36Б"#"61.341701367977 55.196563701152"
"Детские сады / Ясли"#"Детский сад №471, комбинированного вида"#"Гагарина (Ленинский), 29а"#"61.439141418806 55.13259110887"
"Детские сады / Ясли"#"Детский сад №472, комбинированного вида"#"Чичерина, 5а"#"61.285925155868 55.189310742565"
"Детские сады / Ясли"#"Детский сад №379, Лесная полянка"#"Солнечная, 22в"#"61.313598417041 55.200677287497"
